"Supervisor.PI","Diet","Batch","Population","Line","Sex","ReplicateVialOld","ReplicateVial","Individual","CCRT_seconds","Censor","Country","Latitude","Longitude","Altitude"
"Vieira","S",19,"MA","MA30","F",1,"Vieira_19_MA30_F_1",6,1034,0,"Austria",48.375,15.56,572
"Vieira","S",8,"MU","MU3","F",1,"Vieira_8_MU3_F_1",1,1034,0,"Germany",48.18,11.61,520
"Vieira","S",7,"AK","AK4","M",1,"Vieira_7_AK4_M_1",6,1035,0,"Finland",61.1,23.52,88
"Vieira","S",15,"KA","KA13","M",1,"Vieira_15_KA13_M_1",1,1035,0,"Denmark",55.945,10.213,15
"Vieira","S",25,"YE","YE26","F",1,"Vieira_25_YE26_F_1",2,1036,0,"Turkey",40.231,32.26,680
"Vieira","S",14,"KA","KA2","F",1,"Vieira_14_KA2_F_1",4,1037,0,"Denmark",55.945,10.213,15
"Vieira","S",21,"MA","MA27","F",1,"Vieira_21_MA27_F_1",1,1037,0,"Austria",48.375,15.56,572
"Vieira","S",21,"MA","MA7","F",1,"Vieira_21_MA7_F_1",1,1037,0,"Austria",48.375,15.56,572
"Vieira","S",5,"AK","AK19","F",1,"Vieira_5_AK19_F_1",5,1038,0,"Finland",61.1,23.52,88
"Vieira","S",22,"YE","YE19","F",1,"Vieira_22_YE19_F_1",2,1038,0,"Turkey",40.231,32.26,680
"Vieira","S",20,"MA","MA20","M",1,"Vieira_20_MA20_M_1",4,1039,0,"Austria",48.375,15.56,572
"Vieira","S",4,"RE","RE7","F",1,"Vieira_4_RE7_F_1",4,1040,0,"Portugal",41.15,-8.41,175
"Vieira","S",14,"KA","KA2","M",1,"Vieira_14_KA2_M_1",4,1041,0,"Denmark",55.945,10.213,15
"Vieira","S",16,"KA","KA25","M",1,"Vieira_16_KA25_M_1",1,1041,0,"Denmark",55.945,10.213,15
"Vieira","S",24,"VA","VA57","F",1,"Vieira_24_VA57_F_1",6,1042,0,"Russia",57.979,33.244,217
"Vieira","S",23,"VA","VA11","M",1,"Vieira_23_VA11_M_1",2,1043,0,"Russia",57.979,33.244,217
"Vieira","S",19,"MA","MA33","M",1,"Vieira_19_MA33_M_1",2,1044,0,"Austria",48.375,15.56,572
"Vieira","S",26,"YE","YE80","M",1,"Vieira_26_YE80_M_1",5,1045,0,"Turkey",40.231,32.26,680
"Vieira","S",18,"MA","MA5","M",1,"Vieira_18_MA5_M_1",6,1047,0,"Austria",48.375,15.56,572
"Vieira","S",14,"KA","KA5","F",1,"Vieira_14_KA5_F_1",3,1048,0,"Denmark",55.945,10.213,15
"Vieira","S",13,"RE","RE2","M",1,"Vieira_13_RE2_M_1",4,1048,0,"Portugal",41.15,-8.41,175
"Vieira","S",5,"AK","AK18","M",1,"Vieira_5_AK18_M_1",2,1049,0,"Finland",61.1,23.52,88
"Vieira","S",8,"MU","MU8","M",1,"Vieira_8_MU8_M_1",4,1049,0,"Germany",48.18,11.61,520
"Vieira","S",22,"YE","YE20","F",1,"Vieira_22_YE20_F_1",6,1049,0,"Turkey",40.231,32.26,680
"Vieira","S",7,"AK","AK4","F",1,"Vieira_7_AK4_F_1",3,1050,0,"Finland",61.1,23.52,88
"Vieira","S",9,"MU","MU15","M",1,"Vieira_9_MU15_M_1",1,1050,0,"Germany",48.18,11.61,520
"Vieira","S",8,"MU","MU4","F",1,"Vieira_8_MU4_F_1",4,1050,0,"Germany",48.18,11.61,520
"Vieira","S",25,"YE","YE26","F",1,"Vieira_25_YE26_F_1",3,1050,0,"Turkey",40.231,32.26,680
"Vieira","S",14,"KA","KA2","M",1,"Vieira_14_KA2_M_1",3,1055,0,"Denmark",55.945,10.213,15
"Vieira","S",2,"RE","RE13","F",1,"Vieira_2_RE13_F_1",6,1055,0,"Portugal",41.15,-8.41,175
"Vieira","S",3,"RE","RE4","M",1,"Vieira_3_RE4_M_1",5,1055,0,"Portugal",41.15,-8.41,175
"Vieira","S",23,"VA","VA44","F",1,"Vieira_23_VA44_F_1",6,1055,0,"Russia",57.979,33.244,217
"Vieira","S",5,"GI","GI1","M",1,"Vieira_5_GI1_M_1",1,1057,0,"Spain",41.618,0.62,173
"Vieira","S",8,"MU","MU4","F",1,"Vieira_8_MU4_F_1",5,1057,0,"Germany",48.18,11.61,520
"Vieira","S",23,"VA","VA46","M",1,"Vieira_23_VA46_M_1",6,1057,0,"Russia",57.979,33.244,217
"Vieira","S",7,"RE","RE8","F",1,"Vieira_7_RE8_F_1",2,1058,0,"Portugal",41.15,-8.41,175
"Vieira","S",2,"RE","RE10","F",1,"Vieira_2_RE10_F_1",2,1059,0,"Portugal",41.15,-8.41,175
"Vieira","S",2,"RE","RE5","F",1,"Vieira_2_RE5_F_1",3,1059,0,"Portugal",41.15,-8.41,175
"Vieira","S",8,"GI","GI7","F",1,"Vieira_8_GI7_F_1",3,1062,0,"Spain",41.618,0.62,173
"Vieira","S",18,"MA","MA6","F",1,"Vieira_18_MA6_F_1",2,1062,0,"Austria",48.375,15.56,572
"Vieira","S",20,"MA","MA26","M",1,"Vieira_20_MA26_M_1",1,1063,0,"Austria",48.375,15.56,572
"Vieira","S",9,"MU","MU15","F",1,"Vieira_9_MU15_F_1",2,1063,0,"Germany",48.18,11.61,520
"Vieira","S",23,"YE","YE11","F",1,"Vieira_23_YE11_F_1",1,1063,0,"Turkey",40.231,32.26,680
"Vieira","S",25,"YE","YE33","F",1,"Vieira_25_YE33_F_1",2,1063,0,"Turkey",40.231,32.26,680
"Vieira","S",7,"AK","AK16","F",1,"Vieira_7_AK16_F_1",5,1064,0,"Finland",61.1,23.52,88
"Vieira","S",14,"KA","KA2","F",1,"Vieira_14_KA2_F_1",3,1068,0,"Denmark",55.945,10.213,15
"Vieira","S",11,"RE","RE18","F",1,"Vieira_11_RE18_F_1",6,1069,0,"Portugal",41.15,-8.41,175
"Vieira","S",20,"MA","MA26","M",1,"Vieira_20_MA26_M_1",3,1070,0,"Austria",48.375,15.56,572
"Vieira","S",7,"AK","AK16","F",1,"Vieira_7_AK16_F_1",6,1071,0,"Finland",61.1,23.52,88
"Vieira","S",15,"KA","KA1","M",1,"Vieira_15_KA1_M_1",1,1071,0,"Denmark",55.945,10.213,15
"Vieira","S",3,"RE","RE4","F",1,"Vieira_3_RE4_F_1",3,1071,0,"Portugal",41.15,-8.41,175
"Vieira","S",18,"MA","MA5","M",1,"Vieira_18_MA5_M_1",3,1072,0,"Austria",48.375,15.56,572
"Vieira","S",19,"MA","MA31","F",1,"Vieira_19_MA31_F_1",2,1073,0,"Austria",48.375,15.56,572
"Vieira","S",13,"UM","UM29","M",1,"Vieira_13_UM29_M_1",2,1073,0,"Ukraine",48.753,30.206,214
"Vieira","S",5,"GI","GI13","F",1,"Vieira_5_GI13_F_1",1,1074,0,"Spain",41.618,0.62,173
"Vieira","S",9,"MU","MU20","F",1,"Vieira_9_MU20_F_1",4,1074,0,"Germany",48.18,11.61,520
"Vieira","S",1,"UM","UM6","F",1,"Vieira_1_UM6_F_1",3,1074,0,"Ukraine",48.753,30.206,214
"Vieira","S",9,"MU","MU12","M",1,"Vieira_9_MU12_M_1",5,1076,0,"Germany",48.18,11.61,520
"Vieira","S",13,"RE","RE2","M",1,"Vieira_13_RE2_M_1",1,1076,0,"Portugal",41.15,-8.41,175
"Vieira","S",6,"GI","GI12","F",1,"Vieira_6_GI12_F_1",6,1077,0,"Spain",41.618,0.62,173
"Vieira","S",5,"AK","AK19","M",1,"Vieira_5_AK19_M_1",5,1078,0,"Finland",61.1,23.52,88
"Vieira","S",19,"MA","MA32","M",1,"Vieira_19_MA32_M_1",1,1079,0,"Austria",48.375,15.56,572
"Vieira","S",8,"UM","UM2","M",1,"Vieira_8_UM2_M_1",4,1079,0,"Ukraine",48.753,30.206,214
"Vieira","S",22,"YE","YE19","F",1,"Vieira_22_YE19_F_1",3,1079,0,"Turkey",40.231,32.26,680
"Vieira","S",8,"GI","GI7","M",1,"Vieira_8_GI7_M_1",6,1080,0,"Spain",41.618,0.62,173
"Vieira","S",15,"KA","KA13","M",1,"Vieira_15_KA13_M_1",4,1080,0,"Denmark",55.945,10.213,15
"Vieira","S",23,"YE","YE11","M",1,"Vieira_23_YE11_M_1",6,1080,0,"Turkey",40.231,32.26,680
"Vieira","S",7,"AK","AK4","F",1,"Vieira_7_AK4_F_1",4,1081,0,"Finland",61.1,23.52,88
"Vieira","S",15,"KA","KA13","F",1,"Vieira_15_KA13_F_1",1,1082,0,"Denmark",55.945,10.213,15
"Vieira","S",17,"KA","KA17","M",1,"Vieira_17_KA17_M_1",6,1084,0,"Denmark",55.945,10.213,15
"Vieira","S",20,"MA","MA21","M",1,"Vieira_20_MA21_M_1",4,1084,0,"Austria",48.375,15.56,572
"Vieira","S",19,"MA","MA30","F",1,"Vieira_19_MA30_F_1",1,1084,0,"Austria",48.375,15.56,572
"Vieira","S",21,"MA","MA9","M",1,"Vieira_21_MA9_M_1",1,1084,0,"Austria",48.375,15.56,572
"Vieira","S",20,"MA","MA16","M",1,"Vieira_20_MA16_M_1",4,1086,0,"Austria",48.375,15.56,572
"Vieira","S",11,"RE","RE18","F",1,"Vieira_11_RE18_F_1",5,1087,0,"Portugal",41.15,-8.41,175
"Vieira","S",18,"MA","MA5","M",1,"Vieira_18_MA5_M_1",4,1090,0,"Austria",48.375,15.56,572
"Vieira","S",11,"RE","RE18","M",1,"Vieira_11_RE18_M_1",1,1090,0,"Portugal",41.15,-8.41,175
"Vieira","S",20,"MA","MA23","M",1,"Vieira_20_MA23_M_1",6,1092,0,"Austria",48.375,15.56,572
"Vieira","S",8,"UM","UM2","M",1,"Vieira_8_UM2_M_1",3,1092,0,"Ukraine",48.753,30.206,214
"Vieira","S",9,"MU","MU9","F",1,"Vieira_9_MU9_F_1",5,1093,0,"Germany",48.18,11.61,520
"Vieira","S",12,"KA","KA7","F",1,"Vieira_12_KA7_F_1",6,1094,0,"Denmark",55.945,10.213,15
"Vieira","S",8,"MU","MU1","F",1,"Vieira_8_MU1_F_1",6,1094,0,"Germany",48.18,11.61,520
"Vieira","S",22,"VA","VA15","F",1,"Vieira_22_VA15_F_1",5,1094,0,"Russia",57.979,33.244,217
"Vieira","S",22,"YE","YE19","F",1,"Vieira_22_YE19_F_1",1,1094,0,"Turkey",40.231,32.26,680
"Vieira","S",19,"MA","MA32","M",1,"Vieira_19_MA32_M_1",4,1095,0,"Austria",48.375,15.56,572
"Vieira","S",11,"RE","RE17","F",1,"Vieira_11_RE17_F_1",2,1095,0,"Portugal",41.15,-8.41,175
"Vieira","S",25,"YE","YE27","F",1,"Vieira_25_YE27_F_1",6,1095,0,"Turkey",40.231,32.26,680
"Vieira","S",24,"VA","VA71","M",1,"Vieira_24_VA71_M_1",4,1096,0,"Russia",57.979,33.244,217
"Vieira","S",27,"YE","YE13","M",1,"Vieira_27_YE13_M_1",1,1097,0,"Turkey",40.231,32.26,680
"Vieira","S",5,"GI","GI5","M",1,"Vieira_5_GI5_M_1",1,1098,0,"Spain",41.618,0.62,173
"Vieira","S",20,"MA","MA23","F",1,"Vieira_20_MA23_F_1",5,1098,0,"Austria",48.375,15.56,572
"Vieira","S",5,"GI","GI3","F",1,"Vieira_5_GI3_F_1",6,1099,0,"Spain",41.618,0.62,173
"Vieira","S",15,"KA","KA6","M",1,"Vieira_15_KA6_M_1",3,1099,0,"Denmark",55.945,10.213,15
"Vieira","S",20,"MA","MA26","M",1,"Vieira_20_MA26_M_1",6,1099,0,"Austria",48.375,15.56,572
"Vieira","S",6,"GI","GI12","F",1,"Vieira_6_GI12_F_1",4,1100,0,"Spain",41.618,0.62,173
"Vieira","S",9,"MU","MU15","M",1,"Vieira_9_MU15_M_1",5,1100,0,"Germany",48.18,11.61,520
"Vieira","S",2,"RE","RE13","F",1,"Vieira_2_RE13_F_1",1,1100,0,"Portugal",41.15,-8.41,175
"Vieira","S",4,"AK","AK6","M",1,"Vieira_4_AK6_M_1",1,1101,0,"Finland",61.1,23.52,88
"Vieira","S",12,"KA","KA7","F",1,"Vieira_12_KA7_F_1",5,1101,0,"Denmark",55.945,10.213,15
"Vieira","S",4,"RE","RE7","M",1,"Vieira_4_RE7_M_1",2,1101,0,"Portugal",41.15,-8.41,175
"Vieira","S",8,"GI","GI7","F",1,"Vieira_8_GI7_F_1",2,1102,0,"Spain",41.618,0.62,173
"Vieira","S",3,"RE","RE11","M",1,"Vieira_3_RE11_M_1",2,1102,0,"Portugal",41.15,-8.41,175
"Vieira","S",18,"MA","MA3","F",1,"Vieira_18_MA3_F_1",3,1105,0,"Austria",48.375,15.56,572
"Vieira","S",23,"VA","VA1","M",1,"Vieira_23_VA1_M_1",5,1105,0,"Russia",57.979,33.244,217
"Vieira","S",18,"KA","KA18","M",1,"Vieira_18_KA18_M_1",1,1106,0,"Denmark",55.945,10.213,15
"Vieira","S",11,"RE","RE17","M",1,"Vieira_11_RE17_M_1",2,1106,0,"Portugal",41.15,-8.41,175
"Vieira","S",5,"GI","GI13","F",1,"Vieira_5_GI13_F_1",2,1107,0,"Spain",41.618,0.62,173
"Vieira","S",13,"UM","UM29","F",1,"Vieira_13_UM29_F_1",3,1107,0,"Ukraine",48.753,30.206,214
"Vieira","S",6,"GI","GI12","F",1,"Vieira_6_GI12_F_1",5,1108,0,"Spain",41.618,0.62,173
"Vieira","S",20,"MA","MA21","M",1,"Vieira_20_MA21_M_1",2,1108,0,"Austria",48.375,15.56,572
"Vieira","S",24,"VA","VA71","F",1,"Vieira_24_VA71_F_1",2,1108,0,"Russia",57.979,33.244,217
"Vieira","S",18,"KA","KA29","F",1,"Vieira_18_KA29_F_1",5,1109,0,"Denmark",55.945,10.213,15
"Vieira","S",12,"KA","KA7","F",1,"Vieira_12_KA7_F_1",2,1109,0,"Denmark",55.945,10.213,15
"Vieira","S",9,"MU","MU9","F",1,"Vieira_9_MU9_F_1",2,1109,0,"Germany",48.18,11.61,520
"Vieira","S",22,"VA","VA15","F",1,"Vieira_22_VA15_F_1",2,1109,0,"Russia",57.979,33.244,217
"Vieira","S",21,"MA","MA28","F",1,"Vieira_21_MA28_F_1",2,1110,0,"Austria",48.375,15.56,572
"Vieira","S",21,"MA","MA7","F",1,"Vieira_21_MA7_F_1",4,1113,0,"Austria",48.375,15.56,572
"Vieira","S",2,"RE","RE10","F",1,"Vieira_2_RE10_F_1",4,1113,0,"Portugal",41.15,-8.41,175
"Vieira","S",22,"VA","VA18","M",1,"Vieira_22_VA18_M_1",2,1113,0,"Russia",57.979,33.244,217
"Vieira","S",23,"VA","VA6","M",1,"Vieira_23_VA6_M_1",3,1115,0,"Russia",57.979,33.244,217
"Vieira","S",16,"KA","KA28","M",1,"Vieira_16_KA28_M_1",1,1116,0,"Denmark",55.945,10.213,15
"Vieira","S",12,"KA","KA7","M",1,"Vieira_12_KA7_M_1",1,1116,0,"Denmark",55.945,10.213,15
"Vieira","S",13,"UM","UM29","M",1,"Vieira_13_UM29_M_1",5,1116,0,"Ukraine",48.753,30.206,214
"Vieira","S",24,"VA","VA22","F",1,"Vieira_24_VA22_F_1",6,1116,0,"Russia",57.979,33.244,217
"Vieira","S",23,"VA","VA11","M",1,"Vieira_23_VA11_M_1",1,1118,0,"Russia",57.979,33.244,217
"Vieira","S",22,"VA","VA9","F",1,"Vieira_22_VA9_F_1",2,1118,0,"Russia",57.979,33.244,217
"Vieira","S",12,"KA","KA7","F",1,"Vieira_12_KA7_F_1",1,1119,0,"Denmark",55.945,10.213,15
"Vieira","S",10,"MU","MU18","M",1,"Vieira_10_MU18_M_1",5,1119,0,"Germany",48.18,11.61,520
"Vieira","S",20,"MA","MA12","F",1,"Vieira_20_MA12_F_1",3,1120,0,"Austria",48.375,15.56,572
"Vieira","S",2,"RE","RE9","M",1,"Vieira_2_RE9_M_1",1,1120,0,"Portugal",41.15,-8.41,175
"Vieira","S",23,"VA","VA1","F",1,"Vieira_23_VA1_F_1",5,1121,0,"Russia",57.979,33.244,217
"Vieira","S",20,"MA","MA12","M",1,"Vieira_20_MA12_M_1",6,1122,0,"Austria",48.375,15.56,572
"Vieira","S",11,"RE","RE18","F",1,"Vieira_11_RE18_F_1",1,1122,0,"Portugal",41.15,-8.41,175
"Vieira","S",20,"MA","MA26","F",1,"Vieira_20_MA26_F_1",4,1123,0,"Austria",48.375,15.56,572
"Vieira","S",27,"YE","YE14","M",1,"Vieira_27_YE14_M_1",6,1123,0,"Turkey",40.231,32.26,680
"Vieira","S",22,"YE","YE20","F",1,"Vieira_22_YE20_F_1",1,1123,0,"Turkey",40.231,32.26,680
"Vieira","S",5,"AK","AK18","F",1,"Vieira_5_AK18_F_1",1,1124,0,"Finland",61.1,23.52,88
"Vieira","S",9,"MU","MU19","F",1,"Vieira_9_MU19_F_1",1,1124,0,"Germany",48.18,11.61,520
"Vieira","S",22,"YE","YE21","M",1,"Vieira_22_YE21_M_1",3,1124,0,"Turkey",40.231,32.26,680
"Vieira","S",22,"YE","YE20","M",1,"Vieira_22_YE20_M_1",5,1125,0,"Turkey",40.231,32.26,680
"Vieira","S",26,"YE","YE80","M",1,"Vieira_26_YE80_M_1",1,1125,0,"Turkey",40.231,32.26,680
"Vieira","S",18,"KA","KA29","F",1,"Vieira_18_KA29_F_1",1,1126,0,"Denmark",55.945,10.213,15
"Vieira","S",12,"KA","KA7","F",1,"Vieira_12_KA7_F_1",3,1127,0,"Denmark",55.945,10.213,15
"Vieira","S",5,"GI","GI1","F",1,"Vieira_5_GI1_F_1",5,1128,0,"Spain",41.618,0.62,173
"Vieira","S",20,"MA","MA13","M",1,"Vieira_20_MA13_M_1",6,1128,0,"Austria",48.375,15.56,572
"Vieira","S",5,"GI","GI5","F",1,"Vieira_5_GI5_F_1",1,1129,0,"Spain",41.618,0.62,173
"Vieira","S",15,"KA","KA6","M",1,"Vieira_15_KA6_M_1",1,1130,0,"Denmark",55.945,10.213,15
"Vieira","S",5,"AK","AK7","M",1,"Vieira_5_AK7_M_1",6,1131,0,"Finland",61.1,23.52,88
"Vieira","S",11,"RE","RE18","F",1,"Vieira_11_RE18_F_1",2,1131,0,"Portugal",41.15,-8.41,175
"Vieira","S",13,"UM","UM4","F",1,"Vieira_13_UM4_F_1",3,1131,0,"Ukraine",48.753,30.206,214
"Vieira","S",27,"YE","YE13","M",1,"Vieira_27_YE13_M_1",2,1131,0,"Turkey",40.231,32.26,680
"Vieira","S",10,"MU","MU14","M",1,"Vieira_10_MU14_M_1",6,1132,0,"Germany",48.18,11.61,520
"Vieira","S",24,"VA","VA71","F",1,"Vieira_24_VA71_F_1",6,1132,0,"Russia",57.979,33.244,217
"Vieira","S",6,"GI","GI12","M",1,"Vieira_6_GI12_M_1",1,1133,0,"Spain",41.618,0.62,173
"Vieira","S",20,"MA","MA20","F",1,"Vieira_20_MA20_F_1",6,1133,0,"Austria",48.375,15.56,572
"Vieira","S",7,"AK","AK17","M",1,"Vieira_7_AK17_M_1",2,1134,0,"Finland",61.1,23.52,88
"Vieira","S",19,"MA","MA30","F",1,"Vieira_19_MA30_F_1",2,1134,0,"Austria",48.375,15.56,572
"Vieira","S",1,"UM","UM7","M",1,"Vieira_1_UM7_M_1",6,1135,0,"Ukraine",48.753,30.206,214
"Vieira","S",27,"VA","VA30","F",1,"Vieira_27_VA30_F_1",1,1135,0,"Russia",57.979,33.244,217
"Vieira","S",5,"GI","GI3","F",1,"Vieira_5_GI3_F_1",1,1136,0,"Spain",41.618,0.62,173
"Vieira","S",13,"UM","UM29","M",1,"Vieira_13_UM29_M_1",6,1136,0,"Ukraine",48.753,30.206,214
"Vieira","S",15,"KA","KA11","F",1,"Vieira_15_KA11_F_1",6,1137,0,"Denmark",55.945,10.213,15
"Vieira","S",1,"UM","UM5","F",1,"Vieira_1_UM5_F_1",6,1137,0,"Ukraine",48.753,30.206,214
"Vieira","S",18,"MA","MA3","F",1,"Vieira_18_MA3_F_1",6,1138,0,"Austria",48.375,15.56,572
"Vieira","S",4,"AK","AK6","M",1,"Vieira_4_AK6_M_1",6,1139,0,"Finland",61.1,23.52,88
"Vieira","S",16,"KA","KA25","F",1,"Vieira_16_KA25_F_1",2,1139,0,"Denmark",55.945,10.213,15
"Vieira","S",15,"KA","KA6","M",1,"Vieira_15_KA6_M_1",2,1139,0,"Denmark",55.945,10.213,15
"Vieira","S",15,"KA","KA11","M",1,"Vieira_15_KA11_M_1",3,1140,0,"Denmark",55.945,10.213,15
"Vieira","S",18,"KA","KA29","F",1,"Vieira_18_KA29_F_1",3,1140,0,"Denmark",55.945,10.213,15
"Vieira","S",22,"VA","VA15","F",1,"Vieira_22_VA15_F_1",3,1140,0,"Russia",57.979,33.244,217
"Vieira","S",20,"MA","MA18","F",1,"Vieira_20_MA18_F_1",2,1141,0,"Austria",48.375,15.56,572
"Vieira","S",9,"MU","MU12","M",1,"Vieira_9_MU12_M_1",2,1141,0,"Germany",48.18,11.61,520
"Vieira","S",10,"MU","MU18","M",1,"Vieira_10_MU18_M_1",2,1142,0,"Germany",48.18,11.61,520
"Vieira","S",13,"UM","UM29","F",1,"Vieira_13_UM29_F_1",6,1142,0,"Ukraine",48.753,30.206,214
"Vieira","S",23,"YE","YE40","M",1,"Vieira_23_YE40_M_1",2,1142,0,"Turkey",40.231,32.26,680
"Vieira","S",4,"GI","GI8","M",1,"Vieira_4_GI8_M_1",3,1143,0,"Spain",41.618,0.62,173
"Vieira","S",22,"VA","VA15","M",1,"Vieira_22_VA15_M_1",4,1143,0,"Russia",57.979,33.244,217
"Vieira","S",7,"AK","AK17","F",1,"Vieira_7_AK17_F_1",2,1144,0,"Finland",61.1,23.52,88
"Vieira","S",19,"MA","MA19","M",1,"Vieira_19_MA19_M_1",2,1144,0,"Austria",48.375,15.56,572
"Vieira","S",20,"MA","MA21","F",1,"Vieira_20_MA21_F_1",1,1144,0,"Austria",48.375,15.56,572
"Vieira","S",13,"UM","UM8","F",1,"Vieira_13_UM8_F_1",6,1144,0,"Ukraine",48.753,30.206,214
"Vieira","S",20,"MA","MA21","M",1,"Vieira_20_MA21_M_1",3,1145,0,"Austria",48.375,15.56,572
"Vieira","S",11,"RE","RE16","F",1,"Vieira_11_RE16_F_1",6,1145,0,"Portugal",41.15,-8.41,175
"Vieira","S",27,"VA","VA30","M",1,"Vieira_27_VA30_M_1",2,1145,0,"Russia",57.979,33.244,217
"Vieira","S",23,"VA","VA6","M",1,"Vieira_23_VA6_M_1",4,1145,0,"Russia",57.979,33.244,217
"Vieira","S",25,"YE","YE26","M",1,"Vieira_25_YE26_M_1",3,1145,0,"Turkey",40.231,32.26,680
"Vieira","S",15,"KA","KA11","F",1,"Vieira_15_KA11_F_1",1,1146,0,"Denmark",55.945,10.213,15
"Vieira","S",19,"MA","MA31","F",1,"Vieira_19_MA31_F_1",3,1146,0,"Austria",48.375,15.56,572
"Vieira","S",20,"MA","MA13","M",1,"Vieira_20_MA13_M_1",2,1147,0,"Austria",48.375,15.56,572
"Vieira","S",23,"YE","YE11","F",1,"Vieira_23_YE11_F_1",2,1148,0,"Turkey",40.231,32.26,680
