Model	Trait	Sex	Population	Line	Value_re_Billeter	Value_re_Fricke	SE_re_Billeter	SE_re_Fricke
lmer_pop	Fec	F	UM	UM17	-32.894	-16.316	19.216	12.07
lmer_pop	Fec	F	UM	UM18	-12.447	-9.144	19.216	12.157
lmer_pop	Fec	F	UM	UM2	-38.641	-14.62	19.216	12.823
lmer_pop	Fec	F	UM	UM21	19.361	-4.903	19.216	11.496
lmer_pop	Fec	F	UM	UM22	-27.148	NA	19.216	NA
lmer_pop	Fec	F	UM	UM23	1.051	-18.245	19.216	12.781
lmer_pop	Fec	F	UM	UM26	16.688	22.673	19.216	12.108
lmer_pop	Fec	F	UM	UM28	-12.313	1.713	19.216	12.108
lmer_pop	Fec	F	UM	UM29	74.289	-6.031	19.216	10.994
lmer_pop	Fec	F	UM	UM4	-29.954	-16.495	19.216	13.721
lmer_pop	Fec	F	UM	UM5	45.822	1.784	19.216	13.792
lmer_pop	Fec	F	UM	UM7	-1.622	13.224	19.216	13.792
lmer_pop	Fec	F	UM	UM8	8.134	34.168	19.216	12.114
lmer_pop	Fec	F	UM	UM9	-8.705	-16.555	19.216	13.686
lmer_pop	Fec	F	VA	VA1	-31.366	-1.336	20.645	14.871
lmer_pop	Fec	F	VA	VA11	18.888	-22.653	19.216	12.884
lmer_pop	Fec	F	VA	VA15	-36.708	1.679	19.216	12.975
lmer_pop	Fec	F	VA	VA18	-17.062	-10.158	19.216	18.278
lmer_pop	Fec	F	VA	VA22	27.575	6.961	19.216	18.269
lmer_pop	Fec	F	VA	VA26	0.98	-11.609	19.216	12.806
lmer_pop	Fec	F	VA	VA30	-17.864	-19.727	19.216	12.171
lmer_pop	Fec	F	VA	VA34	30.248	11.72	19.216	13.736
lmer_pop	Fec	F	VA	VA35	4.455	-6.486	19.216	12.867
lmer_pop	Fec	F	VA	VA44	22.363	-7.909	19.216	12.867
lmer_pop	Fec	F	VA	VA46	4.054	-9.331	19.216	12.867
lmer_pop	Fec	F	VA	VA47	32.787	-13.655	19.216	13.703
lmer_pop	Fec	F	VA	VA48	-31.228	25.365	19.216	11.016
lmer_pop	Fec	F	VA	VA55	1.381	37.478	19.216	10.994
lmer_pop	Fec	F	VA	VA57	-16.795	-25.123	19.216	9.752
lmer_pop	Fec	F	VA	VA6	10.469	NA	19.216	NA
lmer_pop	Fec	F	VA	VA66	-12.976	-13.256	15.512	10.5
lmer_pop	Fec	F	VA	VA67	-19.228	9.411	17.07	11.679
lmer_pop	Fec	F	VA	VA71	17.285	7.646	19.216	11.507
lmer_pop	Fec	F	VA	VA9	12.741	40.983	19.216	11.66
lmer_pop	Fec	F	YE	YE11	-25.501	8.604	22.449	10.973
lmer_pop	Fec	F	YE	YE13	19.134	-6.271	17.07	12.161
lmer_pop	Fec	F	YE	YE14	-17.198	11.581	19.216	14.811
lmer_pop	Fec	F	YE	YE15	5.388	4.08	19.216	14.871
lmer_pop	Fec	F	YE	YE19	19.287	-18.905	19.216	16.292
lmer_pop	Fec	F	YE	YE20	-16.396	-26.256	19.216	12.241
lmer_pop	Fec	F	YE	YE21	-37.779	-20.629	19.216	11.083
lmer_pop	Fec	F	YE	YE22	39.2	-2.7	19.216	12.824
lmer_pop	Fec	F	YE	YE23	-7.575	21.478	19.216	11.524
lmer_pop	Fec	F	YE	YE24	21.693	30.249	19.216	13.736
lmer_pop	Fec	F	YE	YE26	-30.429	-13.891	19.216	13.715
lmer_pop	Fec	F	YE	YE27	-7.674	-11.703	20.645	13.69
lmer_pop	Fec	F	YE	YE33	3.741	6.39	20.645	13.648
lmer_pop	Fec	F	YE	YE40	96.4	-3.889	19.216	11.507
lmer_pop	Fec	F	YE	YE41	-18.133	-8.052	19.216	13.703
lmer_pop	Fec	F	YE	YE48	-11.184	19.048	19.216	12.826
lmer_pop	Fec	F	YE	YE49	-29.092	NA	19.216	NA
lmer_pop	Fec	F	YE	YE51	-0.091	-3.99	19.216	11.471
lmer_pop	Fec	F	YE	YE69	-17.331	0.657	19.216	10.485
lmer_pop	Fec	F	YE	YE80	13.54	14.198	19.216	11.507
lmer_pop	Fec	F	MA	MA18	NA	-12.727	NA	12.792
lmer_pop	Fec	F	MA	MA30	NA	-19.268	NA	10.16
lmer_pop	Fec	F	MA	MA9	NA	-2.945	NA	18.278
lmer_pop	Fec	F	MU	MU20	NA	-1.644	NA	12.108
lmer_pop	Fec	F	RE	RE4	NA	-7.799	NA	12.075
lmer_pop	Fec	F	RE	RE8	NA	34.355	NA	12.867
lmer_pop	Fec	F	UM	UM20	NA	-19.987	NA	9.405
lmer_pop	Fec	F	UM	UM25	NA	14.348	NA	11.507
lmer_pop	Fec	F	UM	UM6	NA	35.806	NA	13.792
