"","Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"144","Schmidt","1","YE","YE21",7,1.15470053837925,7,5,9,0.365148371670111,0.164957219768465,7
"145","Schmidt","1","YE","YE22",6.8,2.69979423084221,7.5,2,10,0.85374989832438,0.397028563359149,9
"146","Schmidt","1","YE","YE23",5.8,1.54919333848297,6,4,8,0.489897948556636,0.267102299738443,7
"147","Schmidt","1","YE","YE24",6.625,1.59798980865694,6.5,5,9,0.564974714984156,0.241206008853877,5
"148","Schmidt","1","YE","YE26",5.14285714285714,1.21498579258791,6,3,6,0.459221464809188,0.236247237447649,6
"149","Schmidt","1","YE","YE27",4.1,0.994428926011753,4,3,6,0.31446603773522,0.242543640490672,4
"150","Schmidt","1","YE","YE33",2.8,1.98885785202351,2.5,1,6,0.62893207547044,0.710306375722681,1
"151","Schmidt","1","YE","YE40",7.625,0.916125381312904,8,6,9,0.323899234771733,0.120147590991856,8
"152","Schmidt","1","YE","YE41",1.3,0.948683298050514,1,0,3,0.3,0.72975638311578,1
"153","Schmidt","1","YE","YE48",6.5,1.43372087784044,7,4,8,0.453382350291181,0.220572442744683,8
"154","Schmidt","1","YE","YE49",4.8,2.89827534923789,6,0,9,0.916515138991168,0.60380736442456,6
"155","Schmidt","1","YE","YE51",2.28571428571429,1.60356745147455,2,0,5,0.606091526731326,0.701560760020114,3
"156","Schmidt","1","YE","YE69",3.1,1.59513148186739,2.5,1,6,0.504424865014052,0.514558542537867,2
"157","Schmidt","1","YE","YE80",7.7,1.63639169448448,8,4,9,0.517472489875334,0.212518401881101,9
