"","Supervisor.PI","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"31","Schmidt","GI","GI7",2.5,0.534522483824849,2.5,2,3,0.188982236504614,0.21380899352994,3
"32","Schmidt","GI","GI8",1.9,0.875595035770913,2,1,3,0.276887462097269,0.460839492511007,1
"33","Schmidt","GI","GI9",2.33333333333333,0.516397779494322,2,2,3,0.210818510677892,0.221313334068995,2
"34","Schmidt","KA","KA1",2.2,1.03279555898864,2,1,4,0.32659863237109,0.46945252681302,3
"35","Schmidt","KA","KA10",2.2,0.421637021355784,2,2,3,0.133333333333333,0.191653191525356,2
"36","Schmidt","KA","KA11",2.2,0.788810637746616,2,1,3,0.249443825784929,0.358550289884825,2
"37","Schmidt","KA","KA13",1.5,1.08012344973464,1.5,0,3,0.341565025531987,0.720082299823096,2
"38","Schmidt","KA","KA14",3.1,0.316227766016838,3,3,4,0.1,0.102008956779625,3
"39","Schmidt","KA","KA16",2,1.24721912892465,2,1,5,0.394405318873308,0.623609564462324,2
"40","Schmidt","KA","KA17",2,0.666666666666667,2,1,3,0.210818510677892,0.333333333333333,2
"41","Schmidt","KA","KA18",1.6,0.699205898780101,1.5,1,3,0.221108319357027,0.437003686737563,1
"42","Schmidt","KA","KA2",3,0.666666666666667,3,2,4,0.210818510677892,0.222222222222222,3
"43","Schmidt","KA","KA23",3,1.05409255338946,3,1,5,0.333333333333333,0.351364184463153,3
"44","Schmidt","KA","KA24",2.4,0.516397779494322,2,2,3,0.163299316185545,0.215165741455968,2
"45","Schmidt","KA","KA25",1.4,0.516397779494322,1,1,2,0.163299316185545,0.368855556781659,1
"46","Schmidt","KA","KA28",1.8,1.22927259430572,1.5,1,5,0.38873012632302,0.682929219058732,1
"47","Schmidt","KA","KA29",3.8,0.632455532033676,4,3,5,0.2,0.166435666324652,4
"48","Schmidt","KA","KA3",2.1,0.994428926011753,2,1,4,0.31446603773522,0.473537583815121,2
"49","Schmidt","KA","KA5",3.1,0.737864787372622,3,2,4,0.233333333333333,0.238020899152459,3
"50","Schmidt","KA","KA6",3.6,0.699205898780101,3.5,3,5,0.221108319357027,0.19422386077225,3
"51","Schmidt","KA","KA7",4,2.78886675511359,3,2,10,0.881917103688197,0.697216688778396,2
"52","Schmidt","KA","KA9",2.4,0.516397779494322,2,2,3,0.163299316185545,0.215165741455968,2
"53","Schmidt","MA","MA12",3.8,0.788810637746616,4,3,5,0.249443825784929,0.207581746775425,4
"54","Schmidt","MA","MA13",2.2,1.03279555898864,2,1,4,0.32659863237109,0.46945252681302,3
"55","Schmidt","MA","MA18",1.7,0.823272602348565,1.5,1,3,0.260341655863555,0.484278001381509,1
"56","Schmidt","MA","MA19",2.1,0.737864787372622,2,1,3,0.233333333333333,0.351364184463153,2
"57","Schmidt","MA","MA20",3.3,0.483045891539648,3,3,4,0.152752523165195,0.146377542890802,3
"58","Schmidt","MA","MA21",3,0.666666666666667,3,2,4,0.210818510677892,0.222222222222222,3
"59","Schmidt","MA","MA23",2.4,0.843274042711568,2,1,4,0.266666666666667,0.351364184463153,2
"60","Schmidt","MA","MA26",3,0.471404520791032,3,2,4,0.149071198499986,0.157134840263677,3
"61","Schmidt","MA","MA27",4.25,0.957427107756338,4.5,3,5,0.478713553878169,0.225276966530903,5
"62","Schmidt","MA","MA28",1.5,0.52704627669473,1.5,1,2,0.166666666666667,0.351364184463153,2
"63","Schmidt","MA","MA3",4.7,1.25166555703457,5,3,7,0.395811402901264,0.266311820645654,5
"64","Schmidt","MA","MA30",3.33333333333333,0.707106781186548,3,2,4,0.235702260395516,0.212132034355964,4
"65","Schmidt","MA","MA31",1.9,0.567646212197547,2,1,3,0.17950549357115,0.298761164314498,2
"66","Schmidt","MA","MA32",4,1.05409255338946,4,2,5,0.333333333333333,0.263523138347365,5
