"","Supervisor.PI","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"134","Schmidt","VA","VA57",14.7,2.71006354989038,15,9,18,0.856997342145496,0.184358064618393,15
"135","Schmidt","VA","VA66",10.5,6.02310366653088,11,2,18,1.90467261695489,0.573628920621989,18
"136","Schmidt","VA","VA67",8.6,3.27278338896895,9,4,14,1.03494497975067,0.380556208019646,9
"137","Schmidt","VA","VA71",10.2,3.04776785350999,10.5,6,14,0.963788819653397,0.29880076995196,13
"138","Schmidt","YE","YE11",7.71428571428571,3.3523268393901,8,2,11,1.26706044720477,0.434560886587606,11
"139","Schmidt","YE","YE13",11.4,6.43255608430877,9,3,20,2.03415284031898,0.56425930564112,19
"140","Schmidt","YE","YE14",2.4,1.89736659610103,1.5,1,6,0.6,0.790569415042095,1
"141","Schmidt","YE","YE15",6.7,2.71006354989038,6,5,14,0.856997342145496,0.404487096998564,5
"142","Schmidt","YE","YE19",11.2857142857143,2.28868854108532,11,9,16,0.865042958313569,0.202795187184775,11
"143","Schmidt","YE","YE20",15.5,4.16999866773227,16,8,21,1.31866936299017,0.269032172111759,17
"144","Schmidt","YE","YE21",14.9,3.81371792932362,13.5,10,21,1.20600350100837,0.255954223444538,19
"145","Schmidt","YE","YE22",17.5,5.66176258382101,18.5,7,25,1.79040653359944,0.323529290504058,13
"146","Schmidt","YE","YE23",11.8,4.15799096787005,11,7,19,1.31487219488773,0.35237211592119,11
"147","Schmidt","YE","YE24",14.875,4.42194204265178,13,10,21,1.56339260218648,0.297273414632053,12
"148","Schmidt","YE","YE26",11.7142857142857,3.49829890633937,13,6,16,1.32223270256332,0.298635272492385,14
"149","Schmidt","YE","YE27",10.3,2.71006354989038,9,7,15,0.856997342145496,0.263112966008775,9
"150","Schmidt","YE","YE33",4.5,2.87711275027201,3.5,2,9,0.909822937597079,0.639358388949336,2
"151","Schmidt","YE","YE40",16.625,3.50255009141299,17,12,22,1.23833846054184,0.210679704746646,18
"152","Schmidt","YE","YE41",3,1.82574185835055,2.5,1,6,0.577350269189626,0.608580619450185,2
"153","Schmidt","YE","YE48",16.4,3.89301368550838,17.5,12,20,1.23107902084129,0.237378883262706,20
"154","Schmidt","YE","YE49",8.8,4.89444129146071,10,0,15,1.54775823549919,0.556186510393262,13
"155","Schmidt","YE","YE51",5.14285714285714,3.76069902316805,4,1,12,1.42141062443803,0.731247032282677,4
"156","Schmidt","YE","YE69",5.6,3.02581485810939,4,3,11,0.956846672960488,0.540324081805248,4
"157","Schmidt","YE","YE80",15,5.53774924194538,13.5,7,23,1.75119007154183,0.369183282796359,20
